1848.5271516895837
100, 20
116.632935, 21.748192
132.538931, 26.916363
147.02282, 35.27864
159.451586, 46.469551
169.282032, 40
176.084521, 24.72136
179.561752, 8.362277
179.561752, -8.362277
176.084521, -24.72136
169.282032, -40
159.451586, -53.530449
147.02282, -64.72136
132.538931, -73.083637
116.632935, -78.251808
100, -80
83.367065, -78.251808
67.461069, -73.083637
52.97718, -64.72136
47.02282, -64.72136
32.538931, -73.083637
16.632935, -78.251808
0, -80
-16.632935, -78.251808
-32.538931, -73.083637
-47.02282, -64.72136
-59.451586, -53.530449
-69.282032, -40
-76.084521, -24.72136
-79.561752, -8.362277
-79.561752, 8.362277
-76.084521, 24.72136
-69.282032, 40
-59.451586, 46.469551
-47.02282, 35.27864
-32.538931, 26.916363
-16.632935, 21.748192
0, 20
16.632935, 21.748192
23.915479, 24.72136
30.717968, 40
40.548414, 46.469551
40.548414, 53.530449
30.717968, 60
20.438248, 91.637723
20.438248, 108.362277
23.915479, 124.72136
30.717968, 140
40.548414, 153.530449
59.451586, 153.530449
69.282032, 140
76.084521, 124.72136
79.561752, 108.362277
79.561752, 91.637723
83.367065, 78.251808
76.084521, 75.27864
67.461069, 73.083637
69.282032, 60
69.282032, 40
67.461069, 26.916363
76.084521, 24.72136
83.367065, 21.748192
79.561752, 8.362277
79.561752, -8.362277
76.084521, -24.72136
69.282032, -40
59.451586, -53.530449
40.548414, -53.530449
30.717968, -40
23.915479, -24.72136
20.438248, -8.362277
20.438248, 8.362277
32.538931, 26.916363
47.02282, 35.27864
52.97718, 35.27864
59.451586, 46.469551
59.451586, 53.530449
52.97718, 64.72136
47.02282, 64.72136
32.538931, 73.083637
23.915479, 75.27864
16.632935, 78.251808
0, 80
-16.632935, 78.251808
-32.538931, 73.083637
-47.02282, 64.72136
-59.451586, 53.530449
-69.282032, 60
-76.084521, 75.27864
-79.561752, 91.637723
-79.561752, 108.362277
-76.084521, 124.72136
-69.282032, 140
-59.451586, 153.530449
-47.02282, 164.72136
-32.538931, 173.083637
-16.632935, 178.251808
0, 180
16.632935, 178.251808
32.538931, 173.083637
47.02282, 164.72136
52.97718, 164.72136
67.461069, 173.083637
83.367065, 178.251808
100, 180
116.632935, 178.251808
132.538931, 173.083637
147.02282, 164.72136
159.451586, 153.530449
169.282032, 140
176.084521, 124.72136
179.561752, 108.362277
179.561752, 91.637723
176.084521, 75.27864
169.282032, 60
159.451586, 53.530449
147.02282, 64.72136
132.538931, 73.083637
116.632935, 78.251808
100, 80
